name,index,year,D,S
Edirne,SPI12,2006,10,0.0
Edirne,SPI12,2006,11,0.0
Edirne,SPI12,2006,12,0.0
Edirne,SPI12,2007,1,0.954
Edirne,SPI12,2007,2,1.759
Edirne,SPI12,2007,3,2.203
Edirne,SPI12,2007,4,2.405
Edirne,SPI12,2007,5,0.0
Edirne,SPI12,2007,6,0.0
Edirne,SPI12,2007,7,0.0
Edirne,SPI12,2007,8,0.0
Edirne,SPI12,2007,9,0.0
Edirne,SPI12,2007,10,0.0
Edirne,SPI12,2007,11,0.0
Edirne,SPI12,2007,12,0.0
Edirne,SPI12,2008,1,1.776
Edirne,SPI12,2008,2,2.945
Edirne,SPI12,2008,3,3.195
Edirne,SPI12,2008,4,3.252
Edirne,SPI12,2008,5,3.499
Edirne,SPI12,2008,6,3.751
Edirne,SPI12,2008,7,4.283
Edirne,SPI12,2008,8,5.106
Edirne,SPI12,2008,9,5.205
Edirne,SPI12,2008,10,5.527
Edirne,SPI12,2008,11,5.771
Edirne,SPI12,2008,12,5.782
Edirne,SPI12,2009,1,1.34
Edirne,SPI12,2009,2,3.116
Edirne,SPI12,2009,3,4.285
Edirne,SPI12,2009,4,4.815
Edirne,SPI12,2009,5,5.194
Edirne,SPI12,2009,6,5.816
Edirne,SPI12,2009,7,6.408
Edirne,SPI12,2009,8,7.223
Edirne,SPI12,2009,9,7.557
Edirne,SPI12,2009,10,7.807
Edirne,SPI12,2009,11,8.057
Edirne,SPI12,2009,12,8.301
Edirne,SPI12,2010,1,0.0
Edirne,SPI12,2010,2,0.0
Edirne,SPI12,2010,3,0.0
Edirne,SPI12,2010,4,0.0
Edirne,SPI12,2010,5,0.0
Edirne,SPI12,2010,6,0.0
Edirne,SPI12,2010,7,0.0
Edirne,SPI12,2010,8,0.0
Edirne,SPI12,2010,9,0.0
Edirne,SPI12,2010,10,0.0
Edirne,SPI12,2010,11,0.0
Edirne,SPI12,2010,12,0.0
Edirne,SPI12,2011,1,0.881
Edirne,SPI12,2011,2,1.663
Edirne,SPI12,2011,3,2.477
Edirne,SPI12,2011,4,2.871
Edirne,SPI12,2011,5,3.539
Edirne,SPI12,2011,6,4.085
Edirne,SPI12,2011,7,4.391
Edirne,SPI12,2011,8,4.657
Edirne,SPI12,2011,9,4.971
Edirne,SPI12,2011,10,5.425
Edirne,SPI12,2011,11,0.0
Edirne,SPI12,2011,12,0.0
Edirne,SPI12,2012,1,0.974
Edirne,SPI12,2012,2,1.733
Edirne,SPI12,2012,3,1.918
Edirne,SPI12,2012,4,1.991
Edirne,SPI12,2012,5,2.624
Edirne,SPI12,2012,6,3.406
Edirne,SPI12,2012,7,4.22
Edirne,SPI12,2012,8,4.526
Edirne,SPI12,2012,9,4.792
Edirne,SPI12,2012,10,5.106
Edirne,SPI12,2012,11,5.56
Edirne,SPI12,2012,12,0.0
Edirne,SPI12,2013,1,0.0
Edirne,SPI12,2013,2,0.0
Edirne,SPI12,2013,3,0.0
Edirne,SPI12,2013,4,0.0
Edirne,SPI12,2013,5,0.0
Edirne,SPI12,2013,6,0.0
Edirne,SPI12,2013,7,0.0
Edirne,SPI12,2013,8,0.0
Edirne,SPI12,2013,9,0.0
Edirne,SPI12,2013,10,0.0
Edirne,SPI12,2013,11,0.0
Edirne,SPI12,2013,12,0.0
Edirne,SPI12,2014,1,0.827
Edirne,SPI12,2014,2,1.168
Edirne,SPI12,2014,3,1.399
Edirne,SPI12,2014,4,1.453
Edirne,SPI12,2014,5,0.0
Edirne,SPI12,2014,6,0.0
Edirne,SPI12,2014,7,0.0
Edirne,SPI12,2014,8,0.0
Edirne,SPI12,2014,9,0.0
Edirne,SPI12,2014,10,0.0
Edirne,SPI12,2014,11,0.0
Edirne,SPI12,2014,12,0.0
Edirne,SPI12,2015,1,0.0
Edirne,SPI12,2015,2,0.0
Edirne,SPI12,2015,3,0.0
Edirne,SPI12,2015,4,0.0
Edirne,SPI12,2015,5,0.0
Edirne,SPI12,2015,6,0.0
Edirne,SPI12,2015,7,0.0
Edirne,SPI12,2015,8,0.0
Edirne,SPI12,2015,9,0.0
Edirne,SPI12,2015,10,0.0
Edirne,SPI12,2015,11,0.0
Edirne,SPI12,2015,12,0.0
Edirne,SPI12,2016,1,0.311
Edirne,SPI12,2016,2,0.604
Edirne,SPI12,2016,3,0.901
Edirne,SPI12,2016,4,0.0
Edirne,SPI12,2016,5,0.0
Edirne,SPI12,2016,6,0.0
Edirne,SPI12,2016,7,0.0
Edirne,SPI12,2016,8,0.0
Edirne,SPI12,2016,9,0.0
Edirne,SPI12,2016,10,0.0
Edirne,SPI12,2016,11,0.0
Edirne,SPI12,2016,12,0.0
Edirne,SPI12,2017,1,1.772
Edirne,SPI12,2017,2,3.491
Edirne,SPI12,2017,3,4.71
Edirne,SPI12,2017,4,5.991
Edirne,SPI12,2017,5,7.06
Edirne,SPI12,2017,6,7.977
Edirne,SPI12,2017,7,8.55
Edirne,SPI12,2017,8,9.02
