name,indeks,k,D,n,z_mk,p_mk,z_hr,p_hr,var_infl,sig_hr_bh,z_tfpw,p_tfpw
Edirne,SPEI,12,2,59,2.628,0.008587007625487,2.341,0.019234315334502,1.26,False,2.6280730385357494,0.008587007625487031
Edirne,SPEI,12,3,59,2.848,0.0043965956809017,2.564,0.0103621370406439,1.234,False,2.8482096082236144,0.0043965956809017825
Edirne,SPEI,12,4,59,2.878,0.00400659078685,2.602,0.0092795095276132,1.223,False,2.8776423651560514,0.004006590786850062
Edirne,SPEI,12,5,59,2.698,0.0069853505461912,2.698,0.0069853505461912,1.0,False,2.6975418424504936,0.006985350546191205
Edirne,SPEI,12,6,59,2.426,0.0152851940578331,2.426,0.0152851940578331,1.0,False,2.425550379810982,0.015285194057833129
Edirne,SPEI,12,7,59,2.326,0.0199923986746175,2.326,0.0199923986746175,1.0,False,2.3264905002221163,0.01999239867461755
Edirne,SPEI,12,8,59,2.144,0.0320411784383289,2.144,0.0320411784383289,1.0,False,2.143896528331491,0.03204117843832899
Edirne,SPEI,12,9,59,1.902,0.0571903952678707,1.902,0.0571903952678707,1.0,False,1.9018528459866737,0.05719039526787073
Edirne,SPEI,12,10,59,2.276,0.022821382056408,2.276,0.022821382056408,1.0,False,2.2764116666328924,0.022821382056408046
Edirne,SPEI,12,11,59,2.505,0.0122507892283914,2.269,0.023292939951264,1.219,False,2.5048368393090983,0.012250789228391401
Edirne,SPEI,12,12,59,2.335,0.0195249250739848,1.979,0.0478150049699519,1.393,False,2.335354197142063,0.019524925073984845
Edirne,SPI,1,1,59,2.224,0.0261743017423194,2.117,0.0342728588585679,1.103,False,2.223615842429867,0.026174301742319495
Edirne,SPI,1,2,59,1.25,0.2113728138881183,1.25,0.2113728138881183,1.0,False,1.2497994586941947,0.21137281388811835
Edirne,SPI,1,3,59,-0.531,0.5951873489765065,-0.531,0.5951873489765065,1.0,False,-0.5313339992705517,0.5951873489765065
Edirne,SPI,1,4,59,0.051,0.9589798359286406,0.051,0.9589798359286406,1.0,False,0.051433820045355884,0.9589798359286406
Edirne,SPI,1,5,59,-0.422,0.6733287488345925,-0.422,0.6733287488345925,1.0,False,-0.42158391511193627,0.6733287488345925
Edirne,SPI,3,1,59,-0.078,0.937448463996899,-0.078,0.937448463996899,1.0,False,-0.07847720257301893,0.937448463996899
Edirne,SPI,3,2,59,0.118,0.9062635760320944,0.118,0.9062635760320944,1.0,False,0.11775274115626286,0.9062635760320945
Edirne,SPI,3,3,59,-0.052,0.9582186306628122,-0.052,0.9582186306628122,1.0,False,-0.052389135728890646,0.9582186306628122
Edirne,SPI,3,4,59,0.268,0.788747103043077,0.268,0.788747103043077,1.0,False,0.2679379219557879,0.788747103043077
Edirne,SPI,3,5,59,0.572,0.567232752576666,0.572,0.567232752576666,1.0,False,0.5721317030180877,0.567232752576666
Edirne,SPI,3,6,59,-0.104,0.9168771562571718,-0.104,0.9168771562571718,1.0,False,-0.10436820163787909,0.9168771562571718
Edirne,SPI,3,7,59,-0.894,0.3713844157723298,-0.894,0.3713844157723298,1.0,False,-0.8938831469181712,0.37138441577232983
Edirne,SPI,3,8,59,-1.796,0.0724892808784849,-1.796,0.0724892808784849,1.0,False,-1.7960329244571953,0.07248928087848494
Edirne,SPI,6,1,59,-0.085,0.932236816202201,-0.082,0.9343247250406176,1.065,False,-0.08503091108427584,0.932236816202201
Edirne,SPI,6,2,59,-0.485,0.6279604645509249,-0.485,0.6279604645509249,1.0,False,-0.4845995054922385,0.6279604645509249
Edirne,SPI,6,3,59,-0.361,0.7183708257673898,-0.361,0.7183708257673898,1.0,False,-0.3606370004455259,0.7183708257673898
Edirne,SPI,6,4,59,-0.797,0.4254600010924587,-0.797,0.4254600010924587,1.0,False,-0.796984555545929,0.42546000109245874
Edirne,SPI,6,5,59,-1.478,0.1393600331230875,-1.478,0.1393600331230875,1.0,False,-1.4781784024675912,0.13936003312308753
Edirne,SPI,6,6,59,-0.709,0.4780932418539998,-0.709,0.4780932418539998,1.0,False,-0.7093726719115598,0.4780932418539998
Edirne,SPI,6,7,59,-0.475,0.6350093086061692,-0.613,0.5396400675344877,0.599,False,-0.47468808943429164,0.6350093086061692
Edirne,SPI,6,8,59,-0.283,0.7769582837983069,-0.404,0.6862256886796909,0.492,False,-0.28328511873138607,0.7769582837983069
Edirne,SPI,6,9,59,-0.474,0.6354358322495235,-0.55,0.5820205504613165,0.742,False,-0.47408985565429845,0.6354358322495235
Edirne,SPI,6,10,59,-0.58,0.5616848190871462,-0.58,0.5616848190871462,1.0,False,0.0,1.0
Edirne,SPI,6,11,59,-0.364,0.7160126756065368,-0.291,0.7710500959746236,1.563,False,0.1640833196924836,0.8696655527947161
Edirne,SPI,6,12,59,0.462,0.6442715377784438,0.36,0.7192081791680796,1.649,False,0.6030092560921352,0.5465025316348029
Edirne,SPI,9,1,59,-0.877,0.3807019072344486,-1.155,0.2481072719891695,0.576,False,-0.8766037397188458,0.38070190723444863
Edirne,SPI,9,2,59,-0.603,0.5466285403853144,-0.603,0.5466285403853144,1.0,False,-0.6028198495567958,0.5466285403853144
Edirne,SPI,9,3,59,-0.381,0.7028410674552334,-0.381,0.7028410674552334,1.0,False,-0.3814881433904336,0.7028410674552334
Edirne,SPI,9,4,59,-0.134,0.8934271186926133,-0.134,0.8934271186926133,1.0,False,-0.13396896097789396,0.8934271186926133
Edirne,SPI,9,5,59,-0.228,0.8198427500555567,-0.228,0.8198427500555567,1.0,False,-0.22774723366241975,0.8198427500555567
Edirne,SPI,9,6,59,-0.337,0.735826992413686,-0.443,0.6576188222384427,0.579,False,-0.3373845997724678,0.735826992413686
Edirne,SPI,9,7,59,-0.457,0.6474090095587319,-0.62,0.5353179878760015,0.544,False,-0.45736459271071805,0.6474090095587319
Edirne,SPI,9,8,59,-0.27,0.7874592883497002,-0.27,0.7874592883497002,1.0,False,-0.2696113229942794,0.7874592883497002
Edirne,SPI,9,9,59,-0.153,0.8783804192209437,-0.197,0.8434448267377348,0.6,False,-0.15302264278053695,0.8783804192209437
Edirne,SPI,9,10,59,-0.553,0.580587270162989,-0.553,0.580587270162989,1.0,False,-0.5525271035516729,0.580587270162989
Edirne,SPI,9,11,59,0.174,0.8619967505564219,0.174,0.8619967505564219,1.0,False,0.17383294707324276,0.8619967505564219
Edirne,SPI,9,12,59,0.703,0.4821000759781584,0.703,0.4821000759781584,1.0,False,0.702928873953197,0.4821000759781584
Edirne,SPI,12,1,59,0.348,0.7281984967675559,0.311,0.7558487591229306,1.249,False,0.34752292770205223,0.7281984967675559
Edirne,SPI,12,2,59,0.56,0.5755713982673116,0.499,0.6174274693720654,1.256,False,0.5598651836479667,0.5755713982673116
Edirne,SPI,12,3,59,0.317,0.7510464042591116,0.282,0.7779021286164607,1.265,False,0.3172598969823591,0.7510464042591116
Edirne,SPI,12,4,59,0.266,0.7900248220308144,0.238,0.8120178264733371,1.254,False,0.2662783805729072,0.7900248220308144
Edirne,SPI,12,5,59,0.04,0.967941101298966,0.036,0.9713471961756814,1.252,False,0.04019068829336819,0.967941101298966
Edirne,SPI,12,6,59,0.074,0.9410497568585976,0.08,0.9366094029935388,0.865,False,0.07395051982050471,0.9410497568585976
Edirne,SPI,12,7,59,-0.115,0.908647686763396,-0.124,0.901351130932071,0.857,False,-0.1147444422006806,0.9086476867633961
Edirne,SPI,12,8,59,0.034,0.9725298222370572,0.034,0.9725298222370572,1.0,False,0.034435566597648536,0.9725298222370571
Edirne,SPI,12,9,59,0.111,0.9117096791545783,0.111,0.9117096791545783,1.0,False,0.11088230307707347,0.9117096791545785
Edirne,SPI,12,10,59,0.126,0.9000565693416118,0.126,0.9000565693416118,1.0,False,0.12558988602836071,0.9000565693416118
Edirne,SPI,12,11,59,0.343,0.7315808228290763,0.343,0.7315808228290763,1.0,False,0.3430234445330385,0.7315808228290763
Edirne,SPI,12,12,59,0.124,0.9014138732744176,0.112,0.9105110983028816,1.215,False,0.12387547272710135,0.9014138732744175
Kırklareli,SPEI,1,1,59,2.217,0.0266276316428002,2.217,0.0266276316428002,1.0,False,2.2169335656766846,0.026627631642800242
Kırklareli,SPEI,1,2,59,2.553,0.0106837583369205,2.553,0.0106837583369205,1.0,False,2.5528758080045266,0.01068375833692059
Kırklareli,SPEI,1,3,59,1.709,0.0874161316869213,1.597,0.1101893315803361,1.145,False,1.7091879960642005,0.0874161316869213
Kırklareli,SPEI,1,4,59,-0.746,0.4555046825508384,-0.643,0.520020891876195,1.346,False,-0.7462694162344365,0.4555046825508384
Kırklareli,SPEI,3,1,59,1.563,0.1180594485470005,1.563,0.1180594485470005,1.0,False,1.5629708619372495,0.11805944854700057
Kırklareli,SPEI,3,2,59,1.289,0.1974794805940471,1.334,0.1821703598488677,0.933,False,1.2887659106840543,0.19747948059404719
Kırklareli,SPEI,3,3,59,0.899,0.3686060897643215,0.899,0.3686060897643215,1.0,False,0.8990874359739037,0.3686060897643215
Kırklareli,SPEI,3,4,59,1.046,0.295469014059198,1.046,0.295469014059198,1.0,False,1.0461993259473819,0.295469014059198
Kırklareli,SPEI,3,5,59,1.16,0.2461583796195205,1.16,0.2461583796195205,1.0,False,1.1597309140080037,0.24615837961952058
Kırklareli,SPEI,3,6,59,2.431,0.0150374494420917,2.072,0.0382833335551666,1.377,False,2.4314758815299298,0.015037449442091733
Kırklareli,SPEI,3,7,59,1.747,0.0806785474310205,1.265,0.2057170728228552,1.905,False,1.7467624797575272,0.08067854743102054
