ssp,pencere,indeks,name,D,T10_gel,T50_gel,T100_gel,T10_tar,T50_tar,T100_tar,dT10_%,dT50_%,dT100_%
ssp585,2030-2059,SPI,Çorlu,9,14.29,21.52,24.61,13.34,17.98,19.83,7.0,20.0,24.0
ssp585,2030-2059,SPI,Çorlu,12,17.169999999999998,23.125,25.215,17.25,24.84,27.76,-0.0,-7.0,-9.0
ssp585,2030-2059,SPI,İpsala,3,4.23,5.22,5.78,4.97,6.56,7.19,-15.0,-20.0,-20.0
ssp585,2030-2059,SPI,İpsala,6,7.11,9.2,9.94,9.41,13.83,15.67,-24.0,-33.0,-37.0
ssp585,2030-2059,SPI,İpsala,9,11.93,17.27,19.27,13.42,21.5,25.17,-11.0,-20.0,-23.0
ssp585,2070-2099,SPEI,Edirne,3,15.49,17.02,17.65,5.21,7.42,8.29,197.0,129.0,113.0
ssp585,2070-2099,SPEI,Edirne,6,30.52,34.61,36.09,8.84,13.2,15.1,245.0,162.0,139.0
ssp585,2070-2099,SPEI,Edirne,9,41.74,46.04,47.77,11.79,18.3,21.41,254.0,152.0,123.0
ssp585,2070-2099,SPEI,Edirne,12,54.62,60.47,63.45,13.97,24.12,29.47,291.0,151.0,115.0
ssp585,2070-2099,SPEI,Kırklareli,3,15.15,16.51,17.07,5.16,8.3,9.79,194.0,99.0,74.0
ssp585,2070-2099,SPEI,Kırklareli,6,27.44,28.26,28.89,9.45,15.93,19.19,190.0,77.0,51.0
ssp585,2070-2099,SPEI,Kırklareli,9,40.13,43.65,44.19,12.6,23.78,30.6,218.0,84.0,44.0
ssp585,2070-2099,SPEI,Kırklareli,12,51.77,57.56,60.25,15.27,29.94,39.73,239.0,92.0,52.0
ssp585,2070-2099,SPEI,Lüleburgaz,3,19.08,23.87,25.9,6.2,18.25,26.8,208.0,31.0,-3.0
ssp585,2070-2099,SPEI,Lüleburgaz,6,31.21,37.37,40.09,10.4,24.36,32.53,200.0,53.0,23.0
ssp585,2070-2099,SPEI,Lüleburgaz,9,43.55,51.2,53.27,13.17,27.84,35.28,231.0,84.0,51.0
ssp585,2070-2099,SPEI,Sarıyer,3,11.31,14.03,14.18,5.21,7.43,8.35,117.0,89.0,70.0
ssp585,2070-2099,SPEI,Sarıyer,6,21.18,25.91,27.16,9.24,12.59,13.9,129.0,106.0,95.0
ssp585,2070-2099,SPEI,Sarıyer,9,30.93,37.26,39.34,12.61,16.98,18.78,145.0,119.0,109.0
ssp585,2070-2099,SPEI,Sarıyer,12,40.25,47.4,49.88,16.2,22.76,25.37,148.0,108.0,97.0
ssp585,2070-2099,SPEI,Tekirdağ,3,12.77,13.49,13.63,5.23,7.44,8.34,144.0,81.0,63.0
ssp585,2070-2099,SPEI,Tekirdağ,6,24.45,26.97,27.75,10.14,14.18,15.64,141.0,90.0,77.0
ssp585,2070-2099,SPEI,Tekirdağ,9,35.44,39.51,40.79,13.89,21.17,24.34,155.0,87.0,68.0
ssp585,2070-2099,SPEI,Tekirdağ,12,45.24,50.27,51.85,17.12,27.16,31.21,164.0,85.0,66.0
ssp585,2070-2099,SPEI,Uzunköprü,3,16.85,22.76,25.26,5.42,7.66,8.56,211.0,197.0,195.0
ssp585,2070-2099,SPEI,Uzunköprü,6,26.87,27.66,27.67,9.87,13.71,15.23,172.0,102.0,82.0
ssp585,2070-2099,SPEI,Uzunköprü,9,37.83,39.72,40.04,13.86,20.37,23.03,173.0,95.0,74.0
ssp585,2070-2099,SPEI,Uzunköprü,12,47.47,49.99,50.43,16.92,24.9,28.14,181.0,101.0,79.0
ssp585,2070-2099,SPEI,Çorlu,3,12.47,14.37,15.05,5.43,8.08,9.18,130.0,78.0,64.0
ssp585,2070-2099,SPEI,Çorlu,6,23.12,25.31,26.22,10.09,16.01,18.75,129.0,58.0,40.0
ssp585,2070-2099,SPEI,Çorlu,9,33.26,36.66,37.48,14.17,22.24,26.06,135.0,65.0,44.0
ssp585,2070-2099,SPEI,Çorlu,12,41.99,46.23,47.32,17.46,27.96,33.41,140.0,65.0,42.0
ssp585,2070-2099,SPEI,İpsala,3,12.8,12.98,13.0,5.49,7.8,8.63,133.0,66.0,51.0
ssp585,2070-2099,SPEI,İpsala,6,24.13,25.0,25.13,9.5,13.82,15.41,154.0,81.0,63.0
ssp585,2070-2099,SPEI,İpsala,9,34.8,36.32,36.56,13.62,19.71,21.91,156.0,84.0,67.0
ssp585,2070-2099,SPEI,İpsala,12,45.26,47.39,47.74,16.2,27.49,32.84,179.0,72.0,45.0
ssp585,2070-2099,SPI,Edirne,3,7.85,10.93,12.22,4.57,5.93,6.41,72.0,84.0,91.0
ssp585,2070-2099,SPI,Edirne,6,14.67,20.65,23.12,8.07,9.41,9.74,82.0,119.0,137.0
ssp585,2070-2099,SPI,Edirne,9,21.32,31.15,35.18,11.08,13.65,14.52,92.0,128.0,142.0
ssp585,2070-2099,SPI,Edirne,12,27.82,37.7,39.87,13.53,17.02,18.39,106.0,122.0,117.0
ssp585,2070-2099,SPI,Kırklareli,3,7.31,10.16,11.36,4.66,7.11,8.14,57.0,43.0,40.0
ssp585,2070-2099,SPI,Kırklareli,6,13.79,19.0,21.19,8.88,15.78,19.42,55.0,20.0,9.0
